numenc;descricao
2110161132;PROJETO DE SEGURANÇA
2110164131;REGULAMENTA ESTACIONAMENTO
2110165138;REGULAMENTA ESTACIONAMENTO
2110166134;REGULAMENTA ESTACIONAMENTO
2110167130;REGULAMENTA PREFERENCIAL
2110169133;REGULAMENTA PREFERENCIAL
2110170131;DISPOSITIVOS AUXILIARES
2110172134;HORIZ.SIST.VIARIO SECUNDARIO
2110176130;REGULAMENTA ESTACIONAMENTO
2110177136;REGULAMENTA ESTACIONAMENTO
2110189134;REGULAMENTA ESTACIONAMENTO
2110191139;REGULAMENTA FAIXA EXCLUSIVA
2110193131;REGULAMENTA/ALTERA CIRCULACAO
2110193131;REGULAMENTA PREFERENCIAL
2110193131;HORIZ.SIST.VIARIO SECUNDARIO
2110193131;REGULAMENTA VELOCIDADE
2110193131;PROJETO DE SEGURANÇA
2110194138;REGULAMENTA PREFERENCIAL
2110194138;SINALIZAÇAO DE ADVERTENCIA
2110195134;SINALIZAÇAO DE ADVERTENCIA
2110197137;HORIZ. SIST. VIARIO PRINCIPAL
2110198133;REGULAMENTA/ALTERA CIRCULACAO
2110199130;REGULAMENTA ESTACIONAMENTO
2110200138;REGULAMENTA ESTACIONAMENTO
2110201134;REGULAMENTA/ALTERA CIRCULACAO
2110205130;REGULAMENTA PREFERENCIAL
2110207124;PAIRE ESCOLA
2110210133;REGULAMENTA ESTACIONAMENTO
2110211130;SINALIZAÇAO DE ADVERTENCIA
2110215135;REGULAMENTA ESTACIONAMENTO
2110216131;REGULAMENTA ESTACIONAMENTO
2110217138;REGULAMENTA ESTACIONAMENTO
2110217138;SINALIZAÇAO DE ADVERTENCIA
2110221135;REGULAMENTA ESTACIONAMENTO
2110222131;SINALIZACAO SERVICOS/EDUCATIVA
2110225130;REGULAMENTA ESTACIONAMENTO
2110226137;REGULAMENTA/ALTERA CIRCULACAO
2110227133;REGULAMENTA ESTACIONAMENTO
2110227133;HORIZ.SIST.VIARIO SECUNDARIO
2110227133;PAIRE FARMACIA
2110228130;HORIZ.SIST.VIARIO SECUNDARIO
2110228130;PAIRE ONIBUS
2110230134;SINALIZACAO SERVICOS/EDUCATIVA
2110231130;DISPOSITIVOS AUXILIARES
2110233133;HORIZ. SIST. VIARIO PRINCIPAL
2110235136;REGULAMENTA/ALTERA CIRCULACAO
2110236132;HORIZ.SIST.VIARIO SECUNDARIO
2110240130;REGULAMENTA CIRCULA?AO DE ONIBUS E CAMINHOES
2110241136;REGULAMENTA ESTACIONAMENTO
2110242132;REGULAMENTA/ALTERA CIRCULACAO
2110248122;REGULAMENTA VELOCIDADE
2110253134;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2110256133;REGULAMENTA ESTACIONAMENTO
2110256133;REGULAMENTA PREFERENCIAL
2110256133;SINALIZAÇAO DE ADVERTENCIA
2110256133;HORIZ.SIST.VIARIO SECUNDARIO
