numenc;local
2110236132;R   RAUL POMPEIA  X  R TAVARES BASTOS
2110240130;R   ALTAMIRA DO PARANA  X  AV DR CAMARA LEAL
2110241136;R   TRAIPU  X  R PARAGUACU
2110242132;AV DR  GASTAO VIDIGAL  X  R AROABA - PORTÃO 5- CEAGESP
2110248122;R PROFA  ROMILDE NOGUEIRA DE SA  ENTRE  AV IMIRIM E  R FREI PEDRO SINZIG
2110253134;R   LUIZ JOSE MONTESANTI  X  R MAEST ARTURO DE ANGELIS
2110253134;R   LUIZ JOSE MONTESANTI  X  AV MUTINGA
2110256133;R   ALBERTO VEIGA  - N.99 - E.E. JULIO CÉSAR DE OLIVEIRA
2110256133;R   ALBERTO VEIGA  X  R PDE JOAO DE ALMEIDA - N.99 - RUA RIBEIRAO VERMELHO
2110258136;R   PEDRO MARIGLIANI  X  AV RAIMUNDO PEREIRA DE MAGALHAES
2110259132;R DESEM  GUIMARAES  X  R TANABI
2110259132;R   TANABI  X  R AIROSA GALVAO
2110259132;R   TANABI  ENTRE  R DESEM GUIMARAES E  R AIROSA GALVAO
2110263130;R   AIMBERE  - N.300 - A 1,50 METROS DA GR Nº 300 (RET A-14 E RET AC-1)
2110263130;R   AIMBERE  - N.387 - A 2,00 M GR Nº 387 (RET A-14 E AC-1)
2110263130;R   BARTIRA  - N.1198 - RET (A-14) + (AC-1) SPU JUNTO A GR.Nº 1198
2110264136;PC   MANOEL DE SOUSA ARAUJO  X  R ARRUDA DA CAMARA - AV. BENEDITO ANDRADE
2110265132;AV   RAIMUNDO PEREIRA DE MAGALHAES  X  AV PAULA FERREIRA
2110266139;VEL PRES  ARTHUR DA COSTA E SILVA  X  R MARTINS FONTES
2110267135;AV GAL  CHARLES DE GAULLE  ENTRE  R DR GIOVANI RECORDATI E  R INACIO LUIS DA COSTA
2110269138;R   HEITOR DE MORAIS  X  PC CHARLES MILLER - PÇA JOÃO ALVES VERÍSSIMO
2110274131;R   MARTIM TENORIO  - N.93
2210153131;AV MARQ DE SAO VICENTE  - R. FRANCISCO LUIZ DE SOUZA JUNIOR
2210190134;AV   INACIA DE TOLEDO  - N.233 - PRÓX.R.MJ.ALFREDO ROMÃO
2210366100;R   CLOVIS SALGADO  ENTRE  R ENG ANTONIO DE TOLEDO E  AV CEL SEZEFREDO FAGUNDES
2210460107;R   VOLUNTARIOS DA PATRIA  X  R DUARTE DE AZEVEDO - N.0
2310001139;R  DOS CARIRIS  X  R CARD ARCOVERDE
2310002135;R   VALERIO DE CARVALHO  X  R CLAUDIO SOARES
2310003131;R DR  VIRGILIO DE CARVALHO PINTO  X  R ARTUR DE AZEVEDO
2310004138;R   MATEUS GROU  X  R ARTUR DE AZEVEDO
2310005134;R   ARTUR DE AZEVEDO  X  R FRADIQUE COUTINHO
2310005134;R   ARTUR DE AZEVEDO  X  R MOURATO COELHO
2310005134;R   ARTUR DE AZEVEDO  X  R MATEUS GROU
2310005134;R   ARTUR DE AZEVEDO  X  R JOAQUIM ANTUNES
2310005134;R   ARTUR DE AZEVEDO  ENTRE  R JOAQUIM ANTUNES E  R MOURATO COELHO
2310006130;R   ARTUR DE AZEVEDO  X  R ANTONIO BICUDO
