MODALIDADE;LICENÇA;CADASTRO
ESCOLAR;598500;598500
ESCOLAR;598600;598600
ESCOLAR;598800;598800
ESCOLAR;599100;599100
ESCOLAR;599300;599300
ESCOLAR;599500;599500
ESCOLAR;599600;599600
ESCOLAR;599700;599700
ESCOLAR;600000;600000
ESCOLAR;600100;600100
ESCOLAR;600200;600200
ESCOLAR;600500;600500
ESCOLAR;601000;601000
ESCOLAR;601100;601100
ESCOLAR;601400;601400
ESCOLAR;601500;601500
ESCOLAR;601600;601600
ESCOLAR;601700;601700
ESCOLAR;601900;601900
ESCOLAR;602100;602100
ESCOLAR;602700;602700
ESCOLAR;602900;602900
ESCOLAR;603000;603000
ESCOLAR;603400;603400
ESCOLAR;603500;603500
ESCOLAR;603600;603600
ESCOLAR;603700;603700
ESCOLAR;603800;603800
ESCOLAR;603900;603900
ESCOLAR;604000;604000
ESCOLAR;604200;604200
ESCOLAR;604300;604300
ESCOLAR;604400;604400
ESCOLAR;604500;604500
ESCOLAR;604800;604800
ESCOLAR;604900;604900
ESCOLAR;605100;605100
ESCOLAR;605400;605400
ESCOLAR;605600;605600
ESCOLAR;605700;605700
ESCOLAR;605800;605800
ESCOLAR;606000;606000
ESCOLAR;606200;606200
ESCOLAR;606400;606400
ESCOLAR;606900;606900
ESCOLAR;607000;607000
ESCOLAR;607100;607100
ESCOLAR;607200;607200
ESCOLAR;607600;607600
ESCOLAR;607800;607800
ESCOLAR;608000;608000
ESCOLAR;608300;608300
ESCOLAR;608500;608500
ESCOLAR;608700;608700
ESCOLAR;608800;608800
ESCOLAR;609000;609000
ESCOLAR;609100;609100
ESCOLAR;609300;609300
ESCOLAR;609400;609400
ESCOLAR;609500;609500
ESCOLAR;609600;609600
ESCOLAR;609800;609800
ESCOLAR;609900;609900
ESCOLAR;610000;610000
ESCOLAR;610300;610300
ESCOLAR;610400;610400
ESCOLAR;610500;610500
ESCOLAR;610700;610700
ESCOLAR;610800;610800
ESCOLAR;611100;611100
ESCOLAR;611200;611200
ESCOLAR;611800;611800
ESCOLAR;611900;611900
ESCOLAR;612000;612000
ESCOLAR;612400;612400
ESCOLAR;612900;612900
ESCOLAR;613000;613000
ESCOLAR;613100;613100
ESCOLAR;613200;613200
ESCOLAR;613300;613300
ESCOLAR;613400;613400
ESCOLAR;613600;613600
ESCOLAR;613700;613700
ESCOLAR;613800;613800
ESCOLAR;614200;614200
ESCOLAR;614500;614500
ESCOLAR;614800;614800
ESCOLAR;614900;614900
ESCOLAR;615100;615100
ESCOLAR;615200;615200
ESCOLAR;615500;615500
ESCOLAR;615800;615800
ESCOLAR;616200;616200
ESCOLAR;616400;616400
ESCOLAR;616500;616500
ESCOLAR;616600;616600
ESCOLAR;616800;616800
ESCOLAR;617000;617000
ESCOLAR;617200;617200
ESCOLAR;617400;617400
ESCOLAR;617500;617500
ESCOLAR;617700;617700
ESCOLAR;617800;617800
ESCOLAR;617900;617900
ESCOLAR;618400;618400
ESCOLAR;618800;618800
ESCOLAR;618900;618900
ESCOLAR;619100;619100
ESCOLAR;619200;619200
ESCOLAR;619800;619800
ESCOLAR;619900;619900
ESCOLAR;620000;620000
ESCOLAR;620200;620200
ESCOLAR;620300;620300
ESCOLAR;620400;620400
ESCOLAR;620500;620500
ESCOLAR;620600;620600
ESCOLAR;620800;620800
ESCOLAR;621000;621000
ESCOLAR;621400;621400
ESCOLAR;621500;621500
ESCOLAR;622100;622100
ESCOLAR;622700;622700
ESCOLAR;622900;622900
ESCOLAR;623000;623000
ESCOLAR;623200;623200
ESCOLAR;623300;623300
ESCOLAR;623400;623400
ESCOLAR;623500;623500
ESCOLAR;623600;623600
ESCOLAR;624100;624100
ESCOLAR;624900;791601
ESCOLAR;625000;625000
ESCOLAR;625200;625200
ESCOLAR;625300;625300
ESCOLAR;625800;625800
ESCOLAR;626100;626100
ESCOLAR;626600;802000
ESCOLAR;626700;626700
ESCOLAR;626800;626800
ESCOLAR;626900;626900
ESCOLAR;627000;627000
ESCOLAR;627100;627100
ESCOLAR;627700;627700
ESCOLAR;628000;628000
ESCOLAR;628100;628100
ESCOLAR;628500;628500
ESCOLAR;628800;628800
ESCOLAR;629000;629000
ESCOLAR;629100;629100
ESCOLAR;629200;629200
ESCOLAR;629700;629700
ESCOLAR;629900;629900
ESCOLAR;630000;630000
ESCOLAR;630700;630700
ESCOLAR;630800;630800
ESCOLAR;630900;630900
ESCOLAR;631100;631100
ESCOLAR;631200;631200
ESCOLAR;631700;631700
ESCOLAR;632200;632200
ESCOLAR;632300;632300
ESCOLAR;632400;632400
ESCOLAR;632500;632500
ESCOLAR;632700;632700
ESCOLAR;633300;633300
ESCOLAR;633500;633500
ESCOLAR;633600;633600
ESCOLAR;633700;633700
ESCOLAR;633900;633900
ESCOLAR;634000;634000
ESCOLAR;634100;634100
ESCOLAR;634200;634200
ESCOLAR;634400;634400
ESCOLAR;634500;634500
ESCOLAR;634600;634600
ESCOLAR;634900;634900
ESCOLAR;635000;635000
ESCOLAR;635200;635200
ESCOLAR;635300;635300
ESCOLAR;635400;635400
ESCOLAR;635700;635700
ESCOLAR;635800;635800
ESCOLAR;635900;635900
ESCOLAR;636000;636000
ESCOLAR;636300;636300
ESCOLAR;636500;636500
ESCOLAR;636600;636600
ESCOLAR;636700;636700
ESCOLAR;637000;637000
ESCOLAR;637100;637100
ESCOLAR;637200;637200
ESCOLAR;637500;637500
ESCOLAR;637600;637600
ESCOLAR;637700;637700
ESCOLAR;637800;637800
ESCOLAR;637900;637900
ESCOLAR;638100;638100
ESCOLAR;638300;638300
ESCOLAR;638400;638400
ESCOLAR;638500;638500
ESCOLAR;638600;638600
