MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
MARCOPOLO/VOLARE;2000;23/10/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2011;02/12/2013;diesel;
IMP/KIA BESTA 12P GS;1999;07/11/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2011;14/10/2013;diesel;
RENAULT/M REVESCAP L3H2;2012;11/10/2013;diesel;
I/HYUNDAI H100 GLS;2001;11/10/2013;diesel;
MARCOPOLO/VOLARE A8 ON;2001;18/11/2013;diesel;
FIAT/DUCATO FABUSFORMA;2012;14/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;13/09/2013;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;27/08/2013;diesel;
FIAT/DUC M APLIKART M20;2009;09/10/2013;diesel;
AGRALE/NEOBUS THUNDER;2001;18/11/2013;diesel;
I/HYUNDAI H100 GLS;2001;05/10/2012;diesel;
VW/KOMBI;2010;10/12/2013;álcool/gasolina;
PEUGEOT/BOXER 16 LUG;2004;21/09/2013;diesel;
FIAT/DUC TRANSFORMERS TE;2013;14/10/2013;diesel;
IMP/FIAT DUCATO COMBINAT;1998;19/02/2013;diesel;
PEUGEOT/BOXER 16 LUG;2003;14/10/2013;diesel;
I/FORD TRANSIT REVES 16L;2011;06/11/2013;diesel;
I/FORD TRANSIT 350L BUS;2012;18/02/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2009;01/10/2013;diesel;
MARCOPOLO/VOLARE ESCOLAR;1999;09/10/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2008;29/11/2013;diesel;
PEUGEOT/BOX GREENCAR MO2;2010;18/10/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2007;24/10/2013;diesel;
FIAT/DUCATO COMBINATO;2004;25/10/2013;diesel;
PEUGEOT/BOX GREENCAR MO2;2008;11/02/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;17/10/2013;diesel;
FIAT/DUCATO COMBINATO;2004;12/12/2013;diesel;
I/KIA BESTA G RONTAN MIC;2000;05/11/2013;diesel;
I/HYUNDAI H100 GLS;2001;17/12/2013;diesel;
