MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
MARCOPOLO/VOLARE V6 ON;2009;06/12/2013;diesel;
IVECO/DAILY GREENCAR MO;2007;14/02/2014;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;03/09/2013;diesel;
I/KIA BESTA GS GRAND2;2005;26/08/2013;diesel;
I/HYUNDAI H100 GLS;2001;11/10/2013;diesel;
M.BENZ/OF 812;1995;10/10/2013;diesel;
I/JINBEI FABUSFORMA M35;2012;19/02/2014;gasolina;
RENAULT/MASTER NIKS MO20;2012;21/10/2013;diesel;
I/HYUNDAI H100 GLS;1999;09/12/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;11/02/2014;diesel;
I/KIA BESTA GS GRAND;2000;17/01/2014;diesel;
M.BENZ/COMIL BELLO M;2001;21/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;17/09/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2008;05/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2007;03/09/2013;diesel;
I/HYUNDAI H100 GLS;2000;18/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2005;11/12/2013;diesel;
I/JINBEI TOPIC L;2012;16/12/2013;gasolina;
PEUGEOT/BOXER M330M 23S;2012;02/12/2013;diesel;
FIAT/DUCATO COMBINATO;2011;18/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2010;15/10/2013;diesel;
I/HYUNDAI H100 GL;2002;26/09/2013;diesel;
I/M.BENZ 311 CDI FFBM 27;2012;10/10/2013;diesel;
FIAT/DUCATO VIPK;2012;16/12/2013;diesel;
I/JINBEI FABUSFORMA M35;2012;13/01/2014;gasolina;
FIAT/DUCATO COMBINATO;2007;17/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2013;22/01/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2007;24/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;29/10/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2010;10/09/2013;diesel;
RENAULT/MASTER EUROLAF P;2012;26/09/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;23/08/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2011;31/10/2013;diesel;
FIAT/DUCATO MINIBUS;2008;03/02/2014;diesel;
IMP/KIA BESTA 12P GS;2001;06/09/2013;diesel;
I/M.BENZ 415CDISPRINTERM;2012;11/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2009;10/02/2014;diesel;
FIAT/DUC TRANSFORMERS TE;2011;26/12/2013;diesel;
IMP/ASIA TOPIC;1998;04/07/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2010;13/02/2014;diesel;
I/HYUNDAI H100 GLS;1999;06/11/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2000;16/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;17/12/2013;diesel;
I/KIA BESTA GS GRAND;2001;14/10/2013;diesel;
IMP/FIAT DUCATO MINIBUS;2000;29/10/2013;diesel;
FIAT/DUCATO COMBINATO;2006;25/10/2013;diesel;
VW/KOMBI ESCOLAR;2011;17/12/2013;álcool/gasolina;
PEUGEOT/BOXER M330M 23S;2013;23/01/2014;diesel;
I/M.BENZ GUERRA MIC 20;2004;01/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2003;11/02/2014;diesel;
VW/MPOLO FRATELLO LOT;2003;06/11/2013;diesel;
CITROEN/JUMPER TRA 35ESC;2010;19/08/2013;diesel;
PEUGEOT/BOXER FFBM 32;2005;28/11/2013;diesel;
I/KIA BESTA GS GRAND;2001;09/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2009;17/10/2013;diesel;
FIAT/DUCATO MULTI;2006;05/12/2013;diesel;
I/M.BENZ413CDI REVESCAPM;2007;23/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2010;07/02/2014;diesel;
FIAT/DUCATO COMBINATO;2006;19/09/2013;diesel;
FIAT/DUCATO MINIBUS;2010;18/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;10/10/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;03/02/2014;diesel;
FIAT/DUCATO COMBINATO;2008;15/10/2013;diesel;
M.BENZ/OF 812;1993;31/10/2013;diesel;
I/M.BENZ 313 CDI FFBM 28;2011;17/10/2013;diesel;
PEUGEOT/BOXER FFBM 32;2013;03/02/2014;diesel;
FIAT/DUCATO NIKS;2002;10/02/2014;diesel;
I/HYUNDAI H100 GLS;2004;27/08/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;09/12/2013;diesel;
FIAT/DUCATO COMBINATO;2004;12/12/2013;diesel;
VW/KOMBI ESCOLAR;2008;07/10/2013;álcool/gasolina;
PEUGEOT/BOXER M330M 23S;2010;28/08/2013;diesel;
FIAT/DUCATO MULTI REVESC;2010;11/02/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2013;20/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;26/12/2013;diesel;
FIAT/DUCATO MINIBUS;2008;16/12/2013;diesel;
IMP/ASIA TOPIC;1998;17/08/2012;diesel;
FIAT/DUCATO MINIBUS;2008;27/11/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1998;02/12/2013;diesel;
FIAT/DUCATO MINIBUS;2005;04/10/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2006;04/11/2013;diesel;
I/JINBEI TOPIC L;2012;15/01/2014;gasolina / gnv;
FIAT/DUCATO NIKS MULT 16;2007;04/11/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1998;09/12/2013;diesel;
FIAT/DUCATO NIKS MULT 16;2008;18/02/2014;diesel;
PEUGEOT/BOXER M33OM HDI;2006;03/09/2013;diesel;
FIAT/DUCATO COMBINATO;2007;16/10/2013;diesel;
FIAT/DUCATO COMBINATO;2007;18/10/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2013;13/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2007;16/12/2013;diesel;
I/HYUNDAI H100 GLS;2004;16/12/2013;diesel;
I/HYUNDAI H100 GLS;1999;18/12/2013;diesel;
I/HYUNDAI H100 GLS;2003;23/10/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;17/02/2014;diesel;
FIAT/DUC M APLIKART M20;2013;07/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2009;02/12/2013;diesel;
IMP/KIA BESTA 12P GS;1999;07/01/2014;diesel;
CITROEN/JUMPER M33M 23S;2011;23/11/2013;diesel;
FIAT/DUC M APLIKART M20;2009;04/12/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2000;14/02/2014;diesel;
FIAT/DUCATO MINIBUS;2006;11/12/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2000;06/11/2013;diesel;
FIAT/DUCATO COMBINATO;2008;17/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;31/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;18/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2013;07/01/2014;diesel;
IVECOFIAT/D4012 MAXIVAN1;2002;23/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2002;28/11/2013;diesel;
FIAT/DUCACOMFFORMA MIC21;2011;09/12/2013;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;26/11/2013;diesel;
FIAT/DUCATO NIKS 16;2002;19/12/2013;diesel;
I/M.BENZ 313 CDI FFBM 28;2009;17/02/2014;diesel;
I/M.BENZ 311 NIKS PAS;2012;07/02/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2009;03/02/2014;diesel;
MARCOPOLO/VOLARE V6 ESC;2011;24/01/2014;diesel;
FIAT/DUCATO MINIBUS;2013;10/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;21/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;17/02/2014;diesel;
FIAT/DUCATO C REFAMMIC12;2003;08/01/2014;diesel;
IMP/KIA BESTA 12P GS;1998;26/06/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;12/02/2014;diesel;
IMP/KIA BESTA 12P GS;1998;26/11/2013;diesel;
FIAT/DUCATO VIPK;2012;15/01/2014;diesel;
FIAT/DUCATO MINIBUS;2009;15/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2006;04/02/2014;diesel;
I/HYUNDAI H100 GL;1999;27/01/2014;diesel;
IMP/KIA BESTA 12P GS;1998;22/08/2013;diesel;
VW/KOMBI ESCOLAR;2009;24/01/2014;álcool/gasolina;
I/KIA BESTA GS GRAND2;2004;07/01/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2008;27/01/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2008;21/01/2014;diesel;
FIAT/DUCATO MINIBUS;2009;17/01/2014;diesel;
I/HYUNDAI H100 GLS;2004;14/02/2014;diesel;
FIAT/DUCATO MINIBUS;2012;09/01/2014;diesel;
IMP/KIA BESTA 12P GS;2001;25/11/2013;diesel;
I/KIA BESTA GS GRAND;2001;20/01/2014;diesel;
I/HYUNDAI H100 GLS;2001;10/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;13/01/2014;diesel;
I/HYUNDAI H100 GL;2000;20/01/2014;diesel;
I/KIA BESTA GS GRAND;2000;05/09/2013;diesel;
FIAT/DUCATO COMBINATO;2007;08/01/2014;diesel;
FIAT/DUCATO NIKS MULT 16;2010;23/01/2014;diesel;
IMP/KIA BESTA 12P GS;1999;11/02/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;04/02/2014;diesel;
I/M.BENZ311 RIBEIRO MO18;2013;30/12/2013;diesel;
FIAT/DUCATO 15;2001;07/02/2014;diesel;
VW/KOMBI LOTA860;2007;04/02/2014;álcool/gasolina;
FIAT/DUCA ESCOLAR FFBM26;2008;27/01/2014;diesel;
MARCOPOLO/VOLARE ESCOLAR;2002;14/02/2014;diesel;
MARCOPOLO/VOLARE ESCOLAR;2001;06/02/2014;diesel;
PEUGEOT/BOXER FFBM 32;2006;26/09/2013;diesel;
VW/KOMBI ESCOLAR;2010;12/02/2014;álcool/gasolina;
PEUGEOT/BOXER M330M 23S;2009;13/01/2014;diesel;
PEUGEOT/BOX GUERRA MIC20;2008;13/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;10/01/2014;diesel;
I/KIA BESTA GS GRAND;2004;14/10/2013;diesel;
IMP/KIA BESTA 12P GS;1999;11/02/2014;diesel;
FIAT/DUCATO MINIBUS;2013;20/01/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;21/11/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2010;27/01/2014;diesel;
FIAT/DUCATO MINIBUS;2012;17/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2010;04/02/2014;diesel;
FIAT/DUCATO MULTI REVESC;2009;13/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;24/01/2014;diesel;
I/FORD TRANSIT 350L BUS;2011;13/01/2014;diesel;
FIAT/DUC M APLIKART M20;2010;04/02/2014;diesel;
I/HYUNDAI H100 GLS;2002;05/07/2013;diesel;
I/JINBEI FABUSFORMA M35;2008;21/01/2014;gasolina / gnv;
M.BENZ/OF 812;1992;16/12/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2008;28/11/2013;diesel;
IMP/PEUGEOT BOXER 320M 28;2000;03/02/2014;diesel;
I/KIA BESTA GS GRAND;2000;28/08/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2010;17/02/2014;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;11/02/2014;diesel;
