MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;1371932;26/10/2015;ATIVO;09/12/1926;11060182;10
TAXI;1373030;11/03/2013;?BITO;14/01/1942;;5
TAXI;1387332;08/09/2012;?BITO;27/11/1943;;5
TAXI;1410130;11/05/2015;ATIVO;30/05/1932;24000299;5
TAXI;1411730;21/03/2014;ATIVO;04/04/1941;20040342;10
TAXI;1427636;20/03/2015;ATIVO;30/04/1942;;10
TAXI;1431633;17/12/2015;ATIVO;16/02/1942;17120047;5
TAXI;1446231;02/10/2016;ATIVO;;24000850;5
TAXI;1449230;03/01/2016;ATIVO;08/01/1943;24000817;10
TAXI;1456636;28/07/2015;ATIVO;01/09/1950;24000477;5
TAXI;1466232;09/04/2018;ATIVO;26/04/1949;;10
TAXI;1471236;27/07/2014;ATIVO;;2120224;5
TAXI;1471430;23/02/2014;ATIVO;13/06/1931;17060478;15
TAXI;1500830;22/01/2016;ATIVO;04/10/1942;;20
TAXI;1511335;29/04/2016;ATIVO;18/03/1943;;5
TAXI;1528637;22/08/2014;ATIVO;30/09/1941;20040806;30
TAXI;1538039;03/01/2018;ATIVO;10/02/1948;11120037;5
TAXI;1545531;18/03/2014;ATIVO;19/03/1954;24000647;5
TAXI;1557238;31/01/2015;ATIVO;;23020172;10
TAXI;1558536;12/07/2016;ATIVO;19/12/1929;18040071;10
TAXI;1562339;28/03/2015;ATIVO;21/04/1942;17120730;5
TAXI;1582135;14/09/2014;ATIVO;13/11/1944;23040319;25
TAXI;1595334;06/02/2017;ATIVO;;24000272;5
TAXI;1615831;14/02/2016;ATIVO;;;10
TAXI;1622030;04/04/2018;ATIVO;01/05/1948;17040094;5
TAXI;1623737;03/05/2015;ATIVO;28/06/1942;24001740;5
TAXI;1637231;06/02/2011;?BITO;;;10
TAXI;1644831;04/01/2016;ATIVO;;18040403;5
TAXI;1663836;07/05/2015;ATIVO;13/07/1941;2040069;5
TAXI;1671936;15/02/2016;ATIVO;12/12/1942;;10
TAXI;1688634;21/02/2016;ATIVO;09/02/1943;20080662;10
TAXI;1735730;08/03/2015;ATIVO;04/03/1950;11040270;15
TAXI;1788230;08/10/2015;ATIVO;13/11/1940;24000310;10
TAXI;1816535;20/01/2017;ATIVO;10/10/1942;;5
TAXI;1826832;25/03/2014;ATIVO;04/04/1925;24000086;5
TAXI;1880039;01/10/2016;ATIVO;21/10/1934;11060026;10
TAXI;1880535;07/04/2014;ATIVO;;17040299;5
TAXI;1888234;20/04/2015;ATIVO;09/05/1941;;10
TAXI;1906933;15/01/2016;ATIVO;04/04/1951;11120037;5
TAXI;1913638;21/03/2017;ATIVO;13/04/1952;2060116;10
