MODALIDADE;LICENÇA;TIPO_TERMO;NRO_TERMO;TIPO_ATUACAO
ESCOLAR;257600;Termo Permissão;3920;TITULAR
ESCOLAR;258100;Termo Permissão;3990;TITULAR
ESCOLAR;259200;Termo Permissão;3630;TITULAR
ESCOLAR;264200;Termo Permissão;3060;TITULAR
ESCOLAR;269000;Termo Permissão;4700;TITULAR
ESCOLAR;270900;Termo Permissão;4570;TITULAR
ESCOLAR;271600;Termo Permissão;2780;TITULAR
ESCOLAR;273700;Termo Permissão;2310;TITULAR
ESCOLAR;274000;Termo Permissão;2260;TITULAR
ESCOLAR;274800;Termo Permissão;2260;TITULAR
ESCOLAR;275000;Termo Permissão;2210;TITULAR
ESCOLAR;275200;Termo Permissão;1930;TITULAR
ESCOLAR;277200;Termo Permissão;4390;TITULAR
ESCOLAR;282200;Termo Permissão;3420;TITULAR
ESCOLAR;282300;Termo Permissão;1730;TITULAR
ESCOLAR;282600;Termo Permissão;4540;TITULAR
ESCOLAR;285600;Termo Permissão;4570;TITULAR
ESCOLAR;286400;Termo Permissão;2130;TITULAR
ESCOLAR;286700;Termo Permissão;2460;TITULAR
ESCOLAR;288300;Termo Permissão;4470;TITULAR
ESCOLAR;290200;Termo Permissão;1960;TITULAR
ESCOLAR;293300;Termo Permissão;4280;TITULAR
ESCOLAR;296200;Termo Permissão;1770;TITULAR
ESCOLAR;297900;Termo Permissão;1890;TITULAR
ESCOLAR;298000;Termo Permissão;1890;TITULAR
ESCOLAR;298100;Termo Permissão;1890;TITULAR
ESCOLAR;300100;Termo Permissão;3520;TITULAR
ESCOLAR;300800;Termo Permissão;1460;TITULAR
ESCOLAR;302200;Termo Permissão;2390;TITULAR
ESCOLAR;305200;Termo Permissão;4680;TITULAR
ESCOLAR;306400;Termo Permissão;4210;TITULAR
ESCOLAR;311300;Termo Permissão;2800;TITULAR
ESCOLAR;312000;Termo Permissão;272;TITULAR
ESCOLAR;312900;Termo Permissão;3070;TITULAR
ESCOLAR;315200;Termo Permissão;1440;TITULAR
ESCOLAR;316600;Termo Permissão;4440;TITULAR
ESCOLAR;317100;Termo Permissão;2830;TITULAR
ESCOLAR;317200;Termo Permissão;3030;TITULAR
ESCOLAR;317600;Termo Permissão;4000;TITULAR
ESCOLAR;319900;Termo Permissão;3210;TITULAR
ESCOLAR;320000;Termo Permissão;4450;TITULAR
ESCOLAR;320700;Termo Permissão;2810;TITULAR
ESCOLAR;320800;Termo Permissão;1820;TITULAR
ESCOLAR;324700;Termo Permissão;1480;TITULAR
ESCOLAR;324900;Termo Permissão;1280;TITULAR
ESCOLAR;327000;Termo Permissão;1420;TITULAR
ESCOLAR;327500;Termo Permissão;1520;TITULAR
ESCOLAR;328100;Termo Permissão;1630;TITULAR
ESCOLAR;329200;Termo Permissão;1200;TITULAR
ESCOLAR;330200;Termo Permissão;3030;TITULAR
ESCOLAR;338500;Termo Permissão;1400;TITULAR
ESCOLAR;341800;Termo Permissão;4110;TITULAR
ESCOLAR;344100;Termo Permissão;1970;TITULAR
ESCOLAR;345400;Termo Permissão;3710;TITULAR
ESCOLAR;347200;Termo Permissão;1060;TITULAR
ESCOLAR;347700;Termo Permissão;2330;TITULAR
ESCOLAR;353300;Termo Permissão;1650;TITULAR
ESCOLAR;353900;Termo Permissão;3020;TITULAR
ESCOLAR;357300;Termo Permissão;1190;TITULAR
ESCOLAR;359200;Termo Permissão;3470;TITULAR
ESCOLAR;360500;Termo Permissão;2300;TITULAR
ESCOLAR;362200;Termo Permissão;3550;TITULAR
ESCOLAR;364700;Termo Permissão;4843;TITULAR
ESCOLAR;367300;Termo Permissão;2170;TITULAR
ESCOLAR;368200;Termo Permissão;3230;TITULAR
ESCOLAR;369500;Termo Permissão;1020;TITULAR
ESCOLAR;369600;Termo Permissão;1020;TITULAR
ESCOLAR;369900;Termo Permissão;1020;TITULAR
ESCOLAR;370300;Termo Permissão;4843;TITULAR
ESCOLAR;370900;Termo Permissão;1410;TITULAR
ESCOLAR;372200;Termo Permissão;2300;TITULAR
ESCOLAR;373000;Termo Permissão;3550;TITULAR
ESCOLAR;373500;Termo Permissão;4050;TITULAR
ESCOLAR;375300;Termo Permissão;2320;TITULAR
ESCOLAR;381400;Termo Permissão;1020;TITULAR
ESCOLAR;386000;Termo Permissão;1410;TITULAR
ESCOLAR;386200;Termo Permissão;1480;TITULAR
ESCOLAR;386300;Termo Permissão;1480;TITULAR
ESCOLAR;386800;Termo Permissão;2140;TITULAR
ESCOLAR;388000;Termo Permissão;1660;TITULAR
ESCOLAR;391500;Termo Permissão;1580;TITULAR
ESCOLAR;394000;Termo Permissão;1260;TITULAR
ESCOLAR;395000;Termo Permissão;4340;TITULAR
ESCOLAR;400400;Termo Permissão;2480;TITULAR
ESCOLAR;402600;Termo Permissão;4540;TITULAR
ESCOLAR;403200;Termo Permissão;3130;TITULAR
ESCOLAR;403300;Termo Permissão;3130;TITULAR
ESCOLAR;403400;Termo Permissão;1930;TITULAR
ESCOLAR;403500;Termo Permissão;1950;TITULAR
ESCOLAR;405000;Termo Permissão;4490;TITULAR
ESCOLAR;405200;Termo Permissão;1410;TITULAR
ESCOLAR;405300;Termo Permissão;1530;TITULAR
ESCOLAR;406100;Termo Permissão;1360;TITULAR
ESCOLAR;407500;Termo Permissão;1830;TITULAR
ESCOLAR;407800;Termo Permissão;2180;TITULAR
ESCOLAR;410000;Termo Permissão;3520;TITULAR
ESCOLAR;411000;Termo Permissão;1480;TITULAR
ESCOLAR;411100;Termo Permissão;1480;TITULAR
ESCOLAR;413300;Termo Permissão;2620;TITULAR
ESCOLAR;414100;Termo Permissão;2910;TITULAR
ESCOLAR;414700;Termo Permissão;1300;TITULAR
ESCOLAR;418700;Termo Permissão;2190;TITULAR
ESCOLAR;420200;Termo Permissão;3890;TITULAR
ESCOLAR;420800;Termo Permissão;3780;TITULAR
ESCOLAR;421700;Termo Permissão;3950;TITULAR
ESCOLAR;423600;Termo Permissão;4310;TITULAR
ESCOLAR;423700;Termo Permissão;4310;TITULAR
ESCOLAR;426000;Termo Permissão;1450;TITULAR
ESCOLAR;426100;Termo Permissão;1250;TITULAR
ESCOLAR;426600;Termo Permissão;3370;TITULAR
ESCOLAR;427600;Termo Permissão;3370;TITULAR
ESCOLAR;429700;Termo Permissão;4680;TITULAR
ESCOLAR;435000;Termo Permissão;2240;TITULAR
ESCOLAR;436400;Termo Permissão;1100;TITULAR
ESCOLAR;437100;Termo Permissão;2620;TITULAR
ESCOLAR;437300;Termo Permissão;2620;TITULAR
ESCOLAR;438100;Termo Permissão;1840;TITULAR
ESCOLAR;438400;Termo Permissão;1900;TITULAR
ESCOLAR;438500;Termo Permissão;1900;TITULAR
ESCOLAR;438600;Termo Permissão;1900;TITULAR
ESCOLAR;438700;Termo Permissão;1900;TITULAR
ESCOLAR;438800;Termo Permissão;1900;TITULAR
ESCOLAR;438900;Termo Permissão;1900;TITULAR
ESCOLAR;439100;Termo Permissão;1930;TITULAR
ESCOLAR;442500;Termo Permissão;1520;TITULAR
ESCOLAR;443600;Termo Permissão;1790;TITULAR
ESCOLAR;447700;Termo Permissão;1560;TITULAR
ESCOLAR;453400;Termo Permissão;3580;TITULAR
ESCOLAR;454400;Termo Permissão;2030;TITULAR
ESCOLAR;455100;Termo Permissão;4450;TITULAR
ESCOLAR;455700;Termo Permissão;4130;TITULAR
ESCOLAR;457100;Termo Permissão;1740;TITULAR
ESCOLAR;457700;Termo Permissão;2650;TITULAR
ESCOLAR;460000;Termo Permissão;1560;TITULAR
ESCOLAR;462100;Termo Permissão;2910;TITULAR
ESCOLAR;462900;Termo Permissão;2180;TITULAR
ESCOLAR;464800;Termo Permissão;1980;TITULAR
ESCOLAR;464900;Termo Permissão;1860;TITULAR
ESCOLAR;465400;Termo Permissão;2710;TITULAR
ESCOLAR;468500;Termo Permissão;1110;TITULAR
ESCOLAR;471400;Termo Permissão;3590;TITULAR
ESCOLAR;471500;Termo Permissão;3590;TITULAR
ESCOLAR;471600;Termo Permissão;3590;TITULAR
ESCOLAR;471700;Termo Permissão;3590;TITULAR
ESCOLAR;471800;Termo Permissão;3590;TITULAR
ESCOLAR;472000;Termo Permissão;3590;TITULAR
ESCOLAR;472100;Termo Permissão;3590;TITULAR
ESCOLAR;473800;Termo Permissão;3960;TITULAR
ESCOLAR;473900;Termo Permissão;3960;TITULAR
ESCOLAR;474800;Termo Permissão;1430;TITULAR
ESCOLAR;475300;Termo Permissão;3060;TITULAR
ESCOLAR;478700;Termo Permissão;1890;TITULAR
ESCOLAR;478800;Termo Permissão;1170;TITULAR
ESCOLAR;479700;Termo Permissão;4540;TITULAR
ESCOLAR;480300;Termo Permissão;3980;TITULAR
ESCOLAR;483000;Termo Permissão;3040;TITULAR
ESCOLAR;484800;Termo Permissão;4110;TITULAR
ESCOLAR;487500;Termo Permissão;1710;TITULAR
ESCOLAR;487800;Termo Permissão;4580;TITULAR
ESCOLAR;488000;Termo Permissão;3890;TITULAR
ESCOLAR;489300;Termo Permissão;2460;TITULAR
ESCOLAR;489800;Termo Permissão;3530;TITULAR
ESCOLAR;490500;Termo Permissão;4680;TITULAR
ESCOLAR;491600;Termo Permissão;3830;TITULAR
ESCOLAR;491700;Termo Permissão;2470;TITULAR
ESCOLAR;492200;Termo Permissão;1890;TITULAR
ESCOLAR;492400;Termo Permissão;1790;TITULAR
ESCOLAR;493900;Termo Permissão;4080;TITULAR
ESCOLAR;494000;Termo Permissão;4080;TITULAR
ESCOLAR;495000;Termo Permissão;1950;TITULAR
ESCOLAR;496500;Termo Permissão;1240;TITULAR
ESCOLAR;499800;Termo Permissão;1070;TITULAR
ESCOLAR;500300;Termo Permissão;1480;TITULAR
ESCOLAR;500900;Termo Permissão;4130;TITULAR
ESCOLAR;501900;Termo Permissão;4110;TITULAR
ESCOLAR;503300;Termo Permissão;6742;TITULAR
ESCOLAR;503700;Termo Permissão;1610;TITULAR
ESCOLAR;503800;Termo Permissão;1040;TITULAR
ESCOLAR;503900;Termo Permissão;1040;TITULAR
ESCOLAR;504000;Termo Permissão;1040;TITULAR
ESCOLAR;505900;Termo Permissão;1110;TITULAR
ESCOLAR;506200;Termo Permissão;2000;TITULAR
ESCOLAR;506500;Termo Permissão;2440;TITULAR
ESCOLAR;507100;Termo Permissão;2540;TITULAR
ESCOLAR;507400;Termo Permissão;2210;TITULAR
ESCOLAR;507600;Termo Permissão;2470;TITULAR
ESCOLAR;507700;Termo Permissão;2050;TITULAR
ESCOLAR;507800;Termo Permissão;2400;TITULAR
ESCOLAR;508700;Termo Permissão;1050;TITULAR
ESCOLAR;509300;Termo Permissão;2120;TITULAR
ESCOLAR;510200;Termo Permissão;1890;TITULAR
ESCOLAR;511000;Termo Permissão;1890;TITULAR
ESCOLAR;511600;Termo Permissão;2420;TITULAR
ESCOLAR;512000;Termo Permissão;4200;TITULAR
ESCOLAR;514400;Termo Permissão;3530;TITULAR
ESCOLAR;515000;Termo Permissão;1710;TITULAR
ESCOLAR;515100;Termo Permissão;1480;TITULAR
ESCOLAR;515200;Termo Permissão;1480;TITULAR
ESCOLAR;516600;Termo Permissão;2920;TITULAR
ESCOLAR;517400;Termo Permissão;4680;TITULAR
ESCOLAR;517500;Termo Permissão;4680;TITULAR
ESCOLAR;518900;Termo Permissão;1180;TITULAR
ESCOLAR;519100;Termo Permissão;1180;TITULAR
