LOCAL_PONTO;NRO_PONTO;SITUACAO;TIPO;CATEGORIA;ENDEREÇO;NRO;CEP;CODLOG;REGIAO;SUBPREFEITURA
2100207;778;ATIVO;PRIVATIVO;COMUM;JULIO BUONO, AV.;1885;2201000;113212;NORTE;VILA MARIA/VILA GUILHERME
2100215;1319;ATIVO;PRIVATIVO;COMUM;ALCINDO BUENO DE ASSIS, R.;457;2344080;613592;NORTE;SANTANA/TUCURUVI
2100223;2090;ATIVO;PRIVATIVO;COMUM;MANOEL GAYA, R.;500;2313000;127167;NORTE;JACANA/TREMEMBE
2100274;2878;EXTINTO;PRIVATIVO;COMUM;ANTÔNIO MARIA LAET, AV.;191;2240000;213101;NORTE;SANTANA/TUCURUVI
2120054;702;ATIVO;PRIVATIVO;COMUM;SANATÓRIO, AV.;31;2238000;177288;NORTE;VILA MARIA/VILA GUILHERME
2120089;1778;ATIVO;PRIVATIVO;COMUM;SENA, R.;33;2347060;179906;NORTE;SANTANA/TUCURUVI
2120097;789;EXTINTO;PRIVATIVO;COMUM;JORGE NEWBERY, R.;63;2231020;106984;NORTE;JACANA/TREMEMBE
2120100;1270;ATIVO;PRIVATIVO;COMUM;ELIAS DE SOUZA PINTO, R.;248;2357230;22519;NORTE;JACANA/TREMEMBE
2120119;692;ATIVO;PRIVATIVO;COMUM;CONCHILIA, R.;764;2373010;52256;NORTE;JACANA/TREMEMBE
2120135;594;ATIVO;PRIVATIVO;COMUM;ALBERTO SOUZA COM., PCA;57;2274120;4871;NORTE;JACANA/TREMEMBE
2120143;1840;ATIVO;PRIVATIVO;COMUM;LUIZ STAMATIS, R.;90;2260000;123072;NORTE;JACANA/TREMEMBE
2120151;360;ATIVO;PRIVATIVO;COMUM;AUGUSTA DE JESUS, R.;184;2315080;25046;NORTE;JACANA/TREMEMBE
2120160;2100;ATIVO;PRIVATIVO;COMUM;BORTOLUCCI MAESTRO, R.;437;2357040;112780;NORTE;JACANA/TREMEMBE
2120178;2101;ATIVO;PRIVATIVO;COMUM;JOSÉ VICENTE DR, R.;304;2370080;112194;NORTE;JACANA/TREMEMBE
2120208;2433;ATIVO;PRIVATIVO;COMUM;ANTONIETA ALTENFELDER, R.;1;2317170;257850;NORTE;JACANA/TREMEMBE
2120224;578;ATIVO;PRIVATIVO;COMUM;MARIQUINHA SCIASCIA  , PÇA;21;2372050;201278;NORTE;JACANA/TREMEMBE
2120232;1350;ATIVO;PRIVATIVO;COMUM;ANTONELO MESSINA, AV.;785;2318000;163058;NORTE;JACANA/TREMEMBE
2120240;880;ATIVO;PRIVATIVO;COMUM;MICHEL OUCHANA, R.;58;2276140;213764;NORTE;JACANA/TREMEMBE
2120259;2449;EXTINTO;PRIVATIVO;COMUM;EDU CHAVES, AV.;640;2229000;62243;NORTE;VILA MARIA/VILA GUILHERME
