idLombada;codLomb;tipo;altura;comprimento;dataPublicacaoImplantacao;codlog;logradouro;alturaNumerica;referencia;siglaSubprefeitura;nomeSubprefeitura;classificacaoViaria;declividade;larguraPista;temCalcada;larguraCalcada;volumePedestre;tipoVolumeVeiculo;tipoPavimento;condicaoPavimento;temVisibilidadePrejudicada;temEscola;nomeEscola;temColetivo;temRiscoAcidente;substituidaPor;observacao
3295;312461;I;0.10;1.50;18/03/1999 00:00;30233;ALEXANDRE DIAS NOGUEIRA, R;534;NULL;IT;ITAIM PAULISTA;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3296;312462;I;0.10;1.50;29/05/1999 00:00;30233;ALEXANDRE DIAS NOGUEIRA, R;665;NULL;IT;ITAIM PAULISTA;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3297;312463;I;0.10;1.50;18/03/1999 00:00;30236;CASA NOVA, R;20;NULL;IT;ITAIM PAULISTA;1;6.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3298;312464;I;0.10;1.50;18/03/1999 00:00;30236;CASA NOVA, R;27;NULL;IT;ITAIM PAULISTA;1;3.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3557;312723;II;0.10;3.70;29/05/1999 00:00;30240;CRIUVA, R;41;NULL;MP;SÃO MIGUEL;2;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3558;312724;II;0.10;3.70;29/05/1999 00:00;30240;CRIUVA, R;827;NULL;MP;SÃO MIGUEL;2;3.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
3559;312725;II;0.10;3.70;29/05/1999 00:00;30240;CRIUVA, R;569;NULL;MP;SÃO MIGUEL;2;2.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
3560;312726;II;0.10;3.70;29/05/1999 00:00;30240;CRIUVA, R;34;NULL;MP;SÃO MIGUEL;2;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2087;311250;II;0.10;3.70;18/03/1999 00:00;30271;HERMILO ALVES, AV;917;NULL;PE;PENHA;1;0.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2088;311251;II;0.10;3.70;18/03/1999 00:00;30271;HERMILO ALVES, AV;NULL;975A ;PE;PENHA;1;0.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2089;311252;II;0.10;3.70;18/03/1999 00:00;30271;HERMILO ALVES, AV;1055;NULL;PE;PENHA;1;0.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2162;311331;II;0.10;3.70;18/03/1999 00:00;30271;HERMILO ALVES, AV;1124;NULL;PE;PENHA;1;0.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2054;311249;II;0.10;3.70;18/03/1999 00:00;30271;HERMILO ALVES, AV;551;NULL;PE;PENHA;1;0.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
3529;312692;II;0.10;3.40;29/05/1999 00:00;30276;UMBERTO GORGATI, R;379;NULL;PE;PENHA;1;3.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3530;312693;II;0.10;3.80;29/05/1999 00:00;30276;UMBERTO GORGATI, R;270;NULL;PE;PENHA;1;4.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
3531;312694;II;0.10;3.60;29/05/1999 00:00;30276;UMBERTO GORGATI, R;111;NULL;PE;PENHA;1;6.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
1251;310425;I;0.10;1.10;26/09/1998 00:00;30286;RAIMUNDO MACHADO, R;110;NULL;EM;ERMELINO MATARAZZO;1;2.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
923;310172;II;0.10;3.70;26/09/1998 00:00;30308;MANOEL DOS SANTOS BRAGA, AV;209;fr. nº805;MP;SÃO MIGUEL;2;2.00;9.00;0;NULL;NULL;0;1;0;0;0;NULL;0;0;313556;FRENTE GR. Nº800
1006;310173;II;0.10;3.70;26/09/1998 00:00;30308;MANOEL DOS SANTOS BRAGA, AV;751;NULL;MP;SÃO MIGUEL;2;2.00;9.00;0;NULL;NULL;0;1;0;0;0;NULL;0;0;NULL;NULL
3109;312278;I;0.10;1.50;29/05/1999 00:00;30308;MANOEL DOS SANTOS BRAGA, AV;368;NULL;MP;SÃO MIGUEL;2;0.00;6.00;0;NULL;NULL;0;1;0;0;1;NULL;0;0;NULL;NULL
3110;312279;I;0.10;1.50;29/05/1999 00:00;30308;MANOEL DOS SANTOS BRAGA, AV;97;fr. nº346;MP;SÃO MIGUEL;2;1.00;6.00;0;NULL;NULL;0;1;0;0;1;NULL;0;0;NULL;NULL
3111;312280;I;0.10;1.50;29/05/1999 00:00;30308;MANOEL DOS SANTOS BRAGA, AV;NULL;87-A;MP;SÃO MIGUEL;2;6.00;6.00;0;NULL;NULL;0;1;0;0;1;NULL;0;0;NULL;NULL
2313;311505;I;0.08;1.50;18/03/1999 00:00;30309;BARTOLOMEU SOARES, R;131;NULL;EM;ERMELINO MATARAZZO;1;0.00;7.00;0;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
2314;311506;I;0.08;1.50;18/03/1999 00:00;30309;BARTOLOMEU SOARES, R;45;NULL;EM;ERMELINO MATARAZZO;1;0.00;7.00;0;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
3448;312615;II;0.10;3.50;29/05/1999 00:00;30412;JOSE TEIXEIRA DA SILVA, R;93;NULL;PE;PENHA;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
14068;431561;I;0.08;1.50;24/01/2012 00:00;30434;EDGARD MAGALHAES NORONHA, R DR;589;NULL;AF;ARICANDUVA;1;2.00;8.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
18033;522082;I;0.10;1.50;18/03/1999 00:00;30466;FABIO BARBOSA LIMA, R;178;NULL;CL;CAMPO LIMPO;1;6.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
17809;522081;I;0.10;1.50;18/03/1999 00:00;30466;FABIO BARBOSA LIMA, R;89;NULL;CL;CAMPO LIMPO;1;6.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
17810;522083;I;0.10;1.40;18/03/1999 00:00;30466;FABIO BARBOSA LIMA, R;262;NULL;CL;CAMPO LIMPO;1;6.00;6.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
26960;510419;I;0.08;1.50;26/09/1998 00:00;30497;SANTIAGO FERRER, R;73;NULL;BT;BUTANTÃ;1;1.00;9.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
26961;510420;I;0.08;1.50;26/09/1998 00:00;30497;SANTIAGO FERRER, R;130;NULL;BT;BUTANTÃ;1;1.00;9.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
26962;510421;I;0.08;1.50;26/09/1998 00:00;30497;SANTIAGO FERRER, R;289;NULL;BT;BUTANTÃ;1;2.00;9.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
2389;311554;II;0.10;3.70;18/03/1999 00:00;30520;JAPARAIQUARA, R;648;NULL;EM;ERMELINO MATARAZZO;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2390;311555;II;0.10;3.70;18/03/1999 00:00;30520;JAPARAIQUARA, R;709;NULL;EM;ERMELINO MATARAZZO;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
11509;220661;II;0.10;3.70;18/09/2012 00:00;30551;HORTOLANDIA, R;494;NULL;PJ;PIRITUBA;1;6.00;8.00;1;1.50;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
11510;220662;II;0.10;3.70;18/09/2012 00:00;30551;HORTOLANDIA, R;550;NULL;PJ;PIRITUBA;1;6.00;8.00;1;1.50;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
11511;220663;II;0.10;3.70;18/09/2012 00:00;30551;HORTOLANDIA, R;602;NULL;PJ;PIRITUBA;1;6.00;8.00;1;1.50;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
2444;311607;I;0.10;1.50;29/05/1999 00:00;30553;CONCEICAO DO CASTELO, R;53;NULL;EM;ERMELINO MATARAZZO;1;2.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
2163;311332;I;0.10;1.50;18/03/1999 00:00;30555;EBAUBA, R;32;NULL;PE;PENHA;1;1.00;11.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2461;311625;I;0.10;1.50;18/03/1999 00:00;30584;JORGE O SOLANAS, R;63;NULL;PE;PENHA;1;2.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2462;311626;I;0.10;1.50;18/03/1999 00:00;30584;JORGE O SOLANAS, R;280;NULL;PE;PENHA;1;3.00;8.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2394;311559;I;0.10;1.50;18/03/1999 00:00;30586;GUAPIMIRIM, R;220;NULL;EM;ERMELINO MATARAZZO;1;0.00;9.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL
27284;511195;I;0.10;1.50;29/05/1999 00:00;30606;PAULO DA SILVA, R;280;NULL;BT;BUTANTÃ;1;4.00;7.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
2353;311711;I;0.10;1.50;18/03/1999 00:00;30634;GARAU, R;171;NULL;EM;ERMELINO MATARAZZO;1;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
2543;311710;I;0.10;1.50;18/03/1999 00:00;30634;GARAU, R;97;NULL;EM;ERMELINO MATARAZZO;1;2.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
