Id Placa;Categoria;Município;Marca Veículo CET;Marca Veículo Denatran;Tipo Veículo Cet;Tipo Veículo Denatran;Cor Denatran;Ano Modelo;Tipo Registro;Espécie
285;1;6239;27;103303;6;6;140;1988;1;19
286;1;7107;19;115711;6;6;51;1991;1;19
287;1;7107;19;115099;6;6;43;1980;1;19
288;1;7107;19;116607;6;6;51;1984;1;19
289;1;6789;19;117902;6;6;43;1970;1;19
290;1;7107;35;104499;6;6;35;1986;1;19
291;1;7107;35;104707;6;6;27;1983;1;19
292;1;6219;35;104710;6;6;27;1991;1;19
293;1;7107;35;132804;6;6;108;1991;1;19
294;1;7107;19;140802;6;6;108;1991;1;19
295;1;6711;35;104710;6;6;108;1987;1;19
296;1;6619;19;115701;6;6;43;1985;1;19
297;1;7097;35;104302;6;6;116;1986;1;19
298;1;7107;19;117899;6;6;51;1984;1;19
299;1;6789;35;104710;6;6;27;1990;1;19
300;1;7057;19;117902;6;6;35;1970;1;0
301;1;6313;27;103302;6;6;140;1984;1;0
302;1;7107;27;103304;6;6;159;1988;1;19
303;1;6639;51;102608;6;6;51;1991;1;19
304;1;7107;35;104707;6;6;27;1986;1;19
305;1;7107;19;140801;6;6;51;1991;1;19
306;1;7107;35;104710;6;6;159;1991;1;19
307;1;7107;35;104499;6;6;43;1977;1;19
308;1;7107;35;104707;6;6;43;1982;1;19
309;1;6619;19;116601;6;6;108;1991;1;0
310;1;7157;19;117999;6;6;19;1978;1;0
311;1;7107;35;104999;6;6;94;1978;1;19
312;1;6589;19;117704;6;6;159;1982;1;0
313;1;7079;35;104714;6;6;159;1991;1;0
314;1;6635;35;132802;6;6;51;1991;1;19
315;1;7107;19;140801;6;6;108;1991;1;19
316;1;7107;35;104399;6;6;94;1978;1;19
317;1;7107;60;124004;6;6;27;1991;1;19
318;1;7107;51;102608;6;6;51;1991;1;19
319;1;7107;27;103304;6;6;27;1989;1;19
320;1;7107;35;104721;6;6;27;1992;1;19
321;1;7107;35;132801;6;6;159;1991;1;19
322;1;7107;19;117711;6;6;51;1989;1;19
323;1;6477;19;115704;6;6;51;1981;1;0
324;1;7107;27;103099;6;6;159;1973;1;19
325;1;7107;19;115099;6;6;35;1980;1;19
326;1;7107;35;104710;6;6;51;1988;1;19
327;1;6769;51;102606;6;6;159;1990;1;19
328;1;7107;19;117902;6;6;159;1965;1;19
329;1;7145;19;116603;6;6;35;1985;1;19
330;1;6477;19;116901;6;6;116;1986;1;0
331;1;7107;19;117599;6;6;94;1978;1;19
332;1;6377;35;104499;6;6;140;1984;1;19
333;1;7107;35;104901;6;6;116;1987;1;19
334;1;6711;51;102604;6;6;159;1986;1;19
335;1;7107;35;104707;6;6;159;1991;1;19
336;1;7107;35;104710;6;6;27;1990;1;19
337;1;7107;51;102603;6;6;140;1986;1;19
338;1;6415;35;104709;6;6;108;1988;1;19
339;1;6551;51;118406;6;6;51;1991;1;19
340;1;7107;35;104901;6;6;51;1989;1;19
341;1;6131;51;102601;6;6;43;1988;1;0
342;1;6469;51;102603;6;6;43;1991;1;19
343;1;6589;27;103199;6;6;94;1982;1;19
344;1;6229;19;117902;6;6;43;1986;1;19
345;1;7107;19;115709;6;6;35;1991;1;19
346;1;6619;19;140801;6;6;116;1991;1;19
347;1;6471;19;115709;6;6;35;1989;1;19
348;1;7053;27;138801;6;6;159;1991;1;19
349;1;6639;27;103399;6;6;94;1984;1;0
350;1;6713;51;102604;6;6;51;1985;1;19
351;1;6713;19;117006;6;6;159;1991;1;19
352;1;7107;27;103399;6;6;43;1984;1;19
353;1;6313;51;102602;6;6;116;1988;1;19
354;1;7107;51;102611;6;6;159;1991;1;19
355;1;6969;19;115709;6;6;43;1991;1;19
356;1;7107;19;117007;6;6;159;1991;1;19
357;1;6189;19;117904;6;6;43;1974;1;19
358;1;7107;27;138802;6;6;116;1990;1;19
359;1;7107;27;103304;6;6;43;1989;1;19
360;1;7107;19;117006;6;6;51;1991;1;19
361;1;6635;27;103103;6;6;35;1981;1;19
362;1;7107;27;103201;6;6;27;1986;1;19
363;1;6477;19;115703;6;6;116;1986;1;19
364;1;6831;19;117005;6;6;51;1991;1;0
365;1;6875;19;117005;6;6;51;1991;1;19
366;1;7057;19;116604;6;6;43;1985;1;19
367;1;7017;35;104710;6;6;140;1990;1;19
368;1;7107;19;117902;6;6;35;1975;1;19
369;1;7107;19;116606;6;6;159;1990;1;19
370;1;6929;35;104707;6;6;140;1986;1;19
371;1;7107;19;115709;6;6;108;1991;1;19
