Codigo;Municipio
06633;LAVRINHAS                     
06635;LEME                          
06637;LENCOIS PAULISTA              
06639;LIMEIRA                       
06641;LINDOIA                       
06643;LINS                          
06645;LORENA                        
06647;LOUVEIRA                      
06649;LUCELIA                       
06651;LUCIANOPOLIS                  
06653;LUIS ANTONIO                  
06655;LUISIANIA                     
06657;LUPERCIO                      
06659;LUTECIA                       
06661;MACATUBA                      
06663;MACAUBAL                      
06665;MACEDONIA                     
06667;MAGDA                         
06669;MAIRINQUE                     
06671;MAIRIPORA                     
06673;MANDURI                       
06675;MARABA PAULISTA               
06677;MARACAI                       
06679;MARIAPOLIS                    
06681;MARILIA                       
06683;MARINOPOLIS                   
06685;MARTINOPOLIS                  
06687;MATAO                         
06689;MAUA                          
06691;MENDONCA                      
06693;MERIDIANO                     
06695;MIGUELOPOLIS                  
06697;MINEIROS DO TIETE             
06699;MIRACATU                      
06701;MIRA ESTRELA                  
06703;MIRANDOPOLIS                  
06705;MIRANTE DO PARANAPANEMA       
06707;MIRASSOL                      
06709;MIRASSOLANDIA                 
06711;MOCOCA                        
06713;MOGI DAS CRUZES               
06715;MOGI-GUACU                    
06717;MOGI-MIRIM                    
06719;MOMBUCA                       
06721;MONCOES                       
06723;MONGAGUA                      
06725;MONTE ALEGRE DO SUL           
06727;MONTE ALTO                    
06729;MONTE APRAZIVEL               
06731;MONTE AZUL PAULISTA           
06733;MONTE CASTELO                 
06735;MONTEIRO LOBATO               
06737;MONTE MOR                     
06739;MORRO AGUDO                   
06741;MORUNGABA                     
06743;MURUTINGA DO SUL              
06745;NARANDIBA                     
06747;NATIVIDADE DA SERRA           
06749;NAZARE PAULISTA               
06751;NEVES PAULISTA                
06753;NHANDEARA                     
06755;NIPOA                         
06757;NOVA ALIANCA                  
06759;NOVA EUROPA                   
06761;NOVA GRANADA                  
06763;NOVA GUATAPORANGA             
06765;NOVA INDEPENDENCIA            
06767;NOVA LUZITANIA                
06769;NOVA ODESSA                   
06771;NOVO HORIZONTE                
06773;NUPORANGA                     
06775;OCAUCU                        
06777;OLEO                          
06779;OLIMPIA                       
06781;ONDA VERDE                    
06783;ORIENTE                       
06785;ORINDIUVA                     
06787;ORLANDIA                      
06789;OSASCO                        
06791;OSCAR BRESSANE                
06793;OSVALDO CRUZ                  
06795;OURINHOS                      
06797;OURO VERDE                    
06799;PACAEMBU                      
06801;PALESTINA                     
06803;PALMARES PAULISTA             
06805;PALMEIRA D OESTE              
06807;PALMITAL                      
06809;PANORAMA                      
06811;PARAGUACU PAULISTA            
06813;PARAIBUNA                     
06815;PARAISO                       
