Codigo;MarcaCET
5070;CONDOR              
5088;HOREX               
5096;BRANDY              
5100;JAP                 
5118;LAVRALE             
5126;COFAVE              
5134;BENZHOU             
5142;HGL                 
5151;SEIMM               
5169;BMC                 
5177;AGUSTA              
5185;MEDVID              
5193;MONDIAL             
5207;MONTESA             
5215;SPARTA              
5223;YINXIANG            
5231;PUCH                
5240;TECPAMA             
5258;BIMOTA              
5266;HERCHEE             
5274;GEMINI              
5282;APRILIA             
5291;HERO                
5304;WEMOTO              
5312;CMB                 
5321;JIALING             
5339;TRAXX               
5347;QINGQI              
5355;TIANJING            
5363;PGO                 
5371;ROYAL               
5380;MINSK               
5398;STANDARD            
5401;HARTFORD            
5410;HUSQVARNA           
5428;MV AGUSTA           
5436;JIANSHE             
5444;DERBI               
5452;HYOSUNG             
5461;WUYANG              
5479;LUOJIA              
5487;JIANGSU             
5495;JMSTAR              
5509;KIN MOTORS          
5517;CHITUMA             
5525;CTM GREEN           
5533;KAHENA              
5541;TIANHENG            
5550;FYM                 
5568;ADVENTURE           
5576;YINGANG             
5584;JONWAY              
5592;LIFENG MVK          
5606;BASHAN              
5614;HAOBAO              
5622;ZHEJIANG            
5631;LINGYUN             
5649;BRP                 
5657;XINGYUE             
5665;GARINNI             
5673;BAOTIAN             
5681;AME/AMAZONAS        
5690;URAL                
5703;ITALJET             
5711;ARIEL               
5720;TORNAX              
5738;RIGUET              
5746;AME/CHOPPER         
5754;LAMBRETTA           
5762;REVA                
5771;YINHE               
5789;SEAGRAVE            
5797;CARVER              
5801;DI BLASI            
5819;TUTTO               
5827;DONGYANG            
5835;STUTZ               
5843;AUTO CROSS/F.PROPRIA
5851;HIGHWAY             
5860;CORD                
5878;CHERY               
5886;ALVIS               
5894;MOTOR-CASA          
5908;TAC                 
5916;WAKE                
5924;ZHONGNENG           
5932;KOAYENG             
5941;ALEX                
5959;FREIGHTLINER        
5967;GRAHAM-PAIGE        
5975;LANDUN              
5983;MAHINDRA            
5991;SKYGO               
6009;GREAT WALL          
6017;SINOTRUK            
6025;PAGANI              
6033;SUKIDA              
6041;SPYKER              
6050;ARO                 
6068;LM                  
6076;AMARAL/F.PROPRIA    
6084;EDRA                
6092;MARTUSCELLI         
6106;SONIK               
6114;INDUSCAR            
6122;KANDI               
6131;W.H KIBLINGER       
6149;GLOBALSTRONG        
6157;PIERCE ARROW        
6165;TRAMONTINI          
6173;JOHNNY PAG          
6181;AVA/KYMCO           
6190;DHCLBC              
6203;THINK               
6211;HUAWIN              
6220;HONLING             
6238;VINCENT HRD         
6246;PIONEIRA            
6254;HAOJIN              
6262;LIYANG              
6271;JAC MOTORS          
6289;P.FERREIRA/F.PROPRIA
6297;HERMES.L/F.PROPRIA  
6301;DINA.SOUZA/F.PROPRIA
6319;FRANCIOSI/F.PROPRIA 
6327;MINI                
6335;DELOREAN            
6343;PETERBILT           
6351;A.AILTIS/F.PROPRIA  
6360;HONGXING            
6378;V.PIMENTEL/F.PROPRIA
6386;A.MAGRIN/F.PROPRIA  
6394;HUSABERG            
6408;FELZA               
6416;LINZHI              
6424;JINBAWANG           
6432;EXCALIBUR           
6441;HUANSONG            
6459;CFMOTO              
6467;BIGA                
6475;MENGDELI            
6483;FOTON AUMARK        
6491;FAW                 
6505;ZERO                
6513;GOMES.R/ F.PROPRIA  
6521;MADASS              
6530;SHAANXI             
6548;BULL                
6556;EISENACH            
6564;HUANGHAI            
6572;MAN                 
6581;WANHU               
6599;GEELY               
6602;GENERIC             
6611;ARDIE               
6629;SACHS               
6637;MOTOCAR             
6645;BRILLIANCE          
6653;LML                 
6661;ATMAN               
6670;CARBODIES           
6688;SINSKI              
6696;XIASHING            
6700;ZHONGXING           
6718;WIESMANN            
6726;VICTORY             
6734;FLASH               
6742;PANYU               
6751;HUARI               
6769;FLC.MALUF/F.PROPRIA 
6777;ILY.PERUAYTE/F.PROPR
6785;NIPPONIA            
6793;CASADOTRICICLO      
6807;LMF                 
6815;MTL                 
6823;M.MELO/F.PROPRIA    
6831;HAORIZI             
6840;GUOJI               
6858;HAOJIAN             
6866;NORDEX              
6874;JINLING             
6882;JIAPENG             
6891;MCLAREN             
6904;J.ARRAES/F.PROPRIA  
6912;HONGYAN             
6921;CHARMING            
6939;BYD                 
6947;TOKUJI/F.PROPRIA    
6955;PAULO VAZ/F.PROPRIA 
6963;R.DAHER/F.PROPRIA TR
6971;BRAVAX              
6980;E-MAX               
6998;KEEWAY              
7005;FISKER              
7013;AND.EDER/F.PROPRIA  
7021;RELY                
7030;MAGRAO              
7048;HAIMA               
7056;VYRUS               
7064;APARECIDO/F.PROPRIA 
7072;JCN.PANAO/F.PROPRIA 
7081;TAYO                
7099;DAF                 
7102;DFM                 
7111;A.QUEIROZ/F.PROPRIA 
9997;OUTRAS MARCAS       
