Codigo;Marca
004237;I/BMW F 800 S                      
004238;I/BMW G650 X CHALLENGE             
004239;I/BMW G650 X MOTO                  
004241;I/BMW G650 X COUNTRY               
004242;I/BMW F800 GS                      
004243;I/BMW R1200 R                      
004244;I/BMW G450 X                       
004245;I/BMW K 1300 S                     
004246;I/BMW K 1300 R                     
004247;I/BMW K 1300 GT                    
004249;I/BMW F800 R                       
004250;I/BMW R-100 GS                     
004251;I/BMW S1000 RR                     
004252;I/BMW 850-R                        
004253;I/BMW S1000RR ABS-TC               
004254;I/BMW R100 RS                      
004256;BMW/F800 GS                        
004257;BMW/F800 R                         
004258;I/BMW K 1600 GT                    
004259;I/BMW K 1600 GTL                   
004261;I/BMW S1000RR HP4                  
004280;BMW/G 650GS SERTAO                 
004282;BMW/F 800 GS ADVENTURE             
004299;IMP/BMW                            
004399;IMP/BSA                            
004499;IMP/CAGIVA                         
004599;IMP/CZ                             
004601;IMP/DUCATI SENNA                   
004602;I/DUCATI SS 750                    
004603;I/DUCATI 748 BIPOSTO               
004604;I/DUCATI M 600 B                   
004605;I/DUCATI 996 BS                    
004606;I/DUCATI 996 B                     
004607;I/DUCATI M S 4 B                   
004608;I/DUCATI M 900 B D                 
004609;I/DUCATI 998                       
004610;I/DUCATI ST 4S                     
004611;I/DUCATI MULTISTRADA1000           
004612;I/DUCATI 999                       
004613;I/DUCATI 749                       
004614;I/DUCATI 999 R                     
004615;I/DUCATI SPORTCLASS 1000           
004616;I/DUCATI 999 R XEROX               
004617;I/DUCATI MULTISTRADA 620           
004619;I/DUCATI SPORTC PS1000LE           
004621;I/DUCATI 848                       
004622;I/DUCATI D16RR                     
004623;I/DUCATI SUPERBIKE 1098            
004624;I/DUCATI 999 S                     
004626;I/DUCATI 848 NICHY H               
004627;I/DUCATI HYPERMOTARD 796           
004628;I/DUCATI MTS 1200S TOUR            
004630;I/DUCATI MTS 1200                  
004631;I/DUCATI MTS 1200 ABS              
004633;I/DUCATI 848 EVO                   
004634;I/DUCATI DIAVEL                    
004638;I/DUCATI 1199 PANIGALE             
004639;I/DUCATI 1199 PANIGALE S           
004641;I/DUCATI ST FIGHTER 848            
004642;I/DUCATI 1199 PANIG S T            
004643;I/DUCATI 1199 PANIG S A            
004644;I/DUCATI MTS 1200 S T              
004645;I/DUCATI MTS 1200 S PP             
004699;IMP/DUCATI                         
004700;I/H.DAVIDSON MRE CGPI              
004701;IMP/H.DAVIDSON FXSTC SC            
004702;IMP/H.DAVIDSON FXSTS SS            
004703;IMP/H.DAVIDSON FXSTSB BB           
004704;IMP/H.DAVIDSON FXDS DRC            
004705;IMP/H.DAVIDSON FXDWG DWG           
004706;IMP/H.DAVIDSON FXD DSG             
004707;IMP/H.DAVIDSON FXDL DR             
004708;IMP/H.DAVIDSON FLHTCU UG           
004709;IMP/H.DAVIDSON FLHR EGRK           
004710;IMP/H.DAVIDSON FLHT EG             
004711;IMP/H.DAVIDSON FLSTF FB            
004712;IMP/H.DAVIDSON FLSTC HSC           
004713;IMP/H.DAVIDSON FLSTN HSS           
004714;IMP/H.DAVIDSON XLH S883            
004715;IMP/H.DAVIDSON XLH S883H           
004716;IMP/H.DAVIDSON XLH 1200S           
004717;IMP/H.DAVIDSON FLSTS HS            
004718;IMP/H.DAVIDSON XL 1200 S           
004719;IMP/H.DAVIDSON FLHRCI              
004720;IMP/H.DAVIDSON FLHP.               
004721;IMP/H.DAVIDSON XLH 1200            
004722;IMP/H.DAVIDSON XL 1200 C           
004723;IMP/H.DAVIDSON FXSTB               
004724;I/H. DAVIDSON FXD WG Z             
