id_local;local;subprefeitura;distrito;latitude;longitude
3081;FRANCA PINTO, R x RIO GRANDE, R;VILA MARIANA;VILA MARIANA;-23,587801;-46,642709
3082;ESTADO DE ISRAEL, R x OTONIS, R DOS;VILA MARIANA;VILA MARIANA;-23,594295;-46,6449
3083;MACEDO, R CAP x OTONIS, R DOS;VILA MARIANA;VILA MARIANA;-23,592872;-46,644838
3084;TANGARA, R x JORGE CHAMMAS, R - (N 307);VILA MARIANA;VILA MARIANA;-23,58997;-46,645976
3085;JOAQUIM TAVORA, R x AUREA, R;VILA MARIANA;VILA MARIANA;-23,587564;-46,645307
3086;RIO GRANDE, R x GANDAVO, R x MARSELHESA, R;VILA MARIANA;VILA MARIANA;-23,591977;-46,640725
3087;SENA MADUREIRA, R x MAIRINQUE, R x NUPORANGA, R;VILA MARIANA;VILA MARIANA;-23,59332;-46,638046
3088;SENA MADUREIRA, R x DOMINGOS DE MORAIS, R - (C140);VILA MARIANA;VILA MARIANA;-23,592549;-46,636686
3089;DOMINGOS DE MORAIS, R x MANUEL VICENTE, R MONS - (N 2000);VILA MARIANA;VILA MARIANA;-23,593214;-46,636427
3090;SENA MADUREIRA, R x MARSELHESA, R;VILA MARIANA;VILA MARIANA;-23,59366;-46,640875
3091;MACEDO, R CAP x MARSELHESA, R;VILA MARIANA;VILA MARIANA;-23,593199;-46,640851
3093;ABILIO SOARES, R x OSCAR PORTO, R CEL;VILA MARIANA;VILA MARIANA;-23,574803;-46,646256
3094;CUBATAO, R x CORREIA DIAS, R;VILA MARIANA;VILA MARIANA;-23,576863;-46,643175
3095;CUBATAO, R x TOMAS CARVALHAL, R;VILA MARIANA;VILA MARIANA;-23,575995;-46,643568
3096;BERNARDINO DE CAMPOS, AV x PARAISO, R DO - (N 140);VILA MARIANA;BELA VISTA;-23,572279;-46,64303
3097;ESTADO DA PALESTINA, PC x OSCAR PORTO, R CEL x TOMAS CARVALHAL, R;VILA MARIANA;VILA MARIANA;-23,576711;-46,645477
3098;BERNARDINO DE CAMPOS, AV x ABILIO SOARES, R - (N 270);VILA MARIANA;VILA MARIANA;-23,573397;-46,642608
3099;ABILIO SOARES, R x PARAISO, R DO x CARDIM, R MAEST;VILA MARIANA;BELA VISTA;-23,573049;-46,641917
3100;BERNARDINO DE CAMPOS, AV x AFONSO DE FREITAS, R;VILA MARIANA;VILA MARIANA;-23,574309;-46,64216
3101;BERNARDINO DE CAMPOS, AV x TOMAS CARVALHAL, R x RAMON PENHARRUBIA, R x GENEROSA, VD STA;VILA MARIANA;VILA MARIANA;-23,575105;-46,641776
3102;RAFAEL DE BARROS, R DR x CUBATAO, R x SANTOS, AL - (C038);VILA MARIANA;VILA MARIANA;-23,572193;-46,645339
3103;ABILIO SOARES, R x CUBATAO, R - (C049);VILA MARIANA;VILA MARIANA;-23,574131;-46,644446
3104;ABILIO SOARES, R x ELISEU GUILHERME, R DESEM;VILA MARIANA;VILA MARIANA;-23,573681;-46,643433
3105;AFONSO DE FREITAS, R x CUBATAO, R;VILA MARIANA;VILA MARIANA;-23,575024;-46,64402
3106;AFONSO DE FREITAS, R x OSCAR PORTO, R CEL;VILA MARIANA;VILA MARIANA;-23,575744;-46,645782
3107;CUBATAO, R x ESTELA, R;VILA MARIANA;VILA MARIANA;-23,577604;-46,642838
3108;ECA DE QUEIROZ, R x CUBATAO, R;VILA MARIANA;VILA MARIANA;-23,578626;-46,642414
3109;RAFAEL DE BARROS, R DR x ELISEU GUILHERME, R DESEM x OSWALDO CRUZ, PC;VILA MARIANA;VILA MARIANA;-23,571792;-46,644331
3110;SANTOS, AL x LEONCIO DE CARVALHO, R;VILA MARIANA;VILA MARIANA;-23,57121;-46,646406
3111;BERNARDINO DE CAMPOS, AV - (N 18 - 22 - PROX. PCA.  OSVALDO CRUZ);VILA MARIANA;BELA VISTA;-23,571728;-46,643786
3112;ECA DE QUEIROZ, R x OSCAR PORTO, R CEL;VILA MARIANA;VILA MARIANA;-23,579292;-46,644355
3113;CUBATAO, R x SAMPAIO VIANA, R;VILA MARIANA;VILA MARIANA;-23,573137;-46,644906
3114;VERGUEIRO, R x FRANCISCO CRUZ, R;VILA MARIANA;VILA MARIANA;-23,59034;-46,631677
3115;LINS DE VASCONCELOS, AV x VERGUEIRO, R;VILA MARIANA;VILA MARIANA;-23,588586;-46,632201
3116;LINS DE VASCONCELOS, AV x CALIXTO DA MOTA, R x BARTOLOMEU DE GUSMAO, R;VILA MARIANA;VILA MARIANA;-23,588119;-46,630447
