CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
57 19543;D051300013;19543;;57;;16/05/2013;1924;4;D;;01;3856;;;00000000000100000;0100;CT;01;0101;19543;;EQM0673;CM;;;;;AT;;;;
11824&&04831;D051300024;11824;04831;;;27/05/2013;0840;2;D;;01;4246;;;11000000000000000;0100;CT;80;0103;06889;11824;BYZ4275;MO;FFT2987;AU;;;CT;;;;
5 15984;D051300025;15984;;;NC;27/05/2013;1626;4;D;;01;4276;;;00000001000000000;0100;;01;0103;15984;;FFN3767;OU;;;;;AT;;;;
568 11824;D051300027;11824;;568;;28/05/2013;1510;2;D;;01;4305;;;21000000000000000;0100;CT;80;0103;11824;;EIE9152;MO;EBC3126;AU;CHM1526;AU;CO;;;;
5 16593;D051300032;16593;;;PXTUNEL JOAO PA;01/05/2013;0400;2;D;;02;2522;;;01000000000100000;0100;;09;0104;16593;;DIL0218;CM;EII7745;MO;;;CF;;;;
5 16593;D051300061;16593;;;PXANHANGABAU;24/05/2013;2100;2;D;;03;2407;;;20000000000000000;0100;;09;0107;16593;;FAJ0049;AU;EBS4348;AU;;;CO;;;;
464 16593;D051300062;16593;;464;;04/05/2013;1325;2;D;;03;2616;;;00000001000000000;0100;CT;09;0107;16593;;ELW2971;OU;;;;;QD;;;;
5 04831;D051300064;04831;;;NC;07/05/2013;1842;4;D;;03;269;;;10000000000000000;0100;;67;0107;04831;;DJE9931;AU;;;;;AT;;;;
05245&&12132;D051300065;05245;12132;;;08/05/2013;2152;4;D;;03;2719;;;00100000000000000;0100;CT;67;0107;05245;19996;FFN3459;ON;;;;;AT;;;;
92 12132;D051300066;12132;;92;;11/05/2013;1822;2;D;;03;2788;;;00000000000000010;0100;CT;67;0107;12132;;;SI;;;;;CO;;;;
09276&&01267;D051300074;09276;01267;;;07/05/2013;1027;2;D;;03;3680;;;11000000000000000;0100;CT;67;0108;01267;09276;DRZ2238;MO;DBW1278;AU;;;CL;;;;
5 15323;D051300078;15323;;;NC;16/05/2013;1240;2;D;;03;1947;;;10000001000000000;0200;;05;0108;15323;;CR5538;AU;DTA8134;OU;;;CO;;;;
