ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS
D111200080;04831;;99;;23/11/2012;1817;4;D;;03;9451;;;10000000000000000;0100;CT;67;0109;04831;;EFV2754;AU;;;;;AT;;;
D111200082;16593;;474;;26/11/2012;1440;2;D;;03;9516;;;11000000000000000;0100;CT;09;0109;16593;;DOU5548;MO;EFE8154;AU;;;CO;;;
D111200083;15323;;;PXAV SAO  JOAO;29/11/2012;1325;2;D;;03;9613;;;00000001000100000;0100;;05;0109;15323;;DJM0271;CM;DTA0646;OU;;;CO;;;
D111200103;13632;;;PXPC DES MARIO;19/11/2012;0330;2;D;;04;9132;;;10000000000000000;0100;;67;0111;13632;;DQJ9309;AU;;;;;CH;;;
D111200107;19764;;;SBVD PEDROSO;06/11/2012;1800;2;D;;05;6408;;;11000000000000000;0100;;17;0112;19764;;EQM0857;AU;DUW6537;MO;;;CT;;;
D111200117;19764;;;NC;28/11/2012;1803;4;D;;05;6803;;;01000000000000000;0200;;17;0113;19764;;DPV0321;MO;;;;;AT;;;
D111200122;19764;;;PXVD.CONDENSA;11/11/2012;2245;2;D;;05;8925;;;10000000000000000;0100;;17;0113;19764;;DUH7491;AU;;;;;CH;;;
D111200190;06642;01084;;;10/11/2012;0015;4;D;;12;7850;;;10000000000000000;0100;CT;80;0123;06642;13853;ABY6847;AU;;;;;AT;;;
D111200389;19764;;;NC;01/11/2012;0930;2;D;;36;11360;;;11000000000000000;0100;;17;0218;19764;;;AU;DYY3014;MO;;;CT;;;
D111200390;19764;;;PXR CEL OSCAR P;25/11/2012;0700;2;D;;36;11627;;;10000000000000000;0300;;17;0218;19764;;CSC4187;AU;;;;;CH;;;
D111200706;16838;;17000;;01/11/2012;0520;2;D;;46;5290;;;00100000000100000;0100;FL;31;0329;16838;;DZC0509;CM;FSH5040;ON;;;CO;;;
